country,region,year,birthrate,businesstaxrate,co2emissions,daystostartbusiness,easeofbusiness,energyusage,gdp,gdppercapita,healthexpgdp,healthexpcapita,hourstodotax,infantmortalityrate,internetusage,lendinginterest,lifeexpectancy,lifeexpectancyfemale,lifeexpectancymale,mobilephoneusage,numberofrecords,population0-14,population15-64,population65+,populationtotal,populationurban,tourisminbound,tourismoutbound
Tanzania,Africa,12/1/2012,0.04,45%,,26,136,,$28B,$591 ,7.00%,$41 ,172,0.038,0.04,0.155,61,62,60,57%,1,0.449,0.52,0.032,47.8M,29.50%,$2B,$1B
Burkina Faso,Africa,12/1/2012,0.04,44%,,13,154,,$11B,$652 ,6.20%,$38 ,270,0.066,0.04,,56,56,55,61%,1,0.457,0.519,0.024,16.5M,27.30%,,
Nigeria,Africa,12/1/2012,0.04,34%,,28,138,,$463B,"$2,742 ",6.10%,$94 ,956,0.077,0.33,0.168,52,52,52,67%,1,0.442,0.531,0.027,168.8M,45.20%,$1B,$9B
Congo (Kinshasa),Africa,12/1/2012,0.04,339%,,58,183,,$27B,$418 ,5.60%,$15 ,336,0.088,0.02,0.284,50,51,48,31%,1,0.451,0.52,0.028,65.7M,41.00%,$0B,$0B
Zambia,Africa,12/1/2012,0.04,15%,,17,90,,$21B,"$1,463 ",6.50%,$96 ,183,0.057,0.14,0.121,57,59,55,75%,1,0.467,0.506,0.026,14.1M,39.60%,$0B,$0B
"Gambia, The",Africa,12/1/2012,0.04,283%,,27,148,,$1B,$510 ,5.00%,$26 ,376,0.05,0.12,0.28,59,60,57,85%,1,0.459,0.517,0.024,1.8M,57.70%,$0B,$0B
Somalia,Africa,12/1/2012,0.04,,,,,,,,,,,0.092,0.01,,55,56,53,23%,1,0.473,0.498,0.028,10.2M,38.20%,,
Uganda,Africa,12/1/2012,0.04,37%,,33,126,,$20B,$551 ,8.00%,$44 ,213,0.045,0.15,0.263,59,60,58,45%,1,0.485,0.49,0.024,36.3M,15.10%,$1B,$1B
Angola,Africa,12/1/2012,0.05,52%,,66,178,,$115B,"$5,523 ",3.50%,$190 ,282,0.104,0.17,0.167,52,53,50,61%,1,0.476,0.5,0.024,20.8M,41.70%,$1B,$0B
Burundi,Africa,12/1/2012,0.05,52%,,8,157,,$2B,$251 ,8.10%,$20 ,274,0.057,0.01,0.143,54,56,52,23%,1,0.442,0.534,0.024,9.8M,11.20%,$0B,$0B
Chad,Africa,12/1/2012,0.05,76%,,62,189,,$13B,"$1,035 ",2.80%,$25 ,732,0.09,0.02,,51,52,50,35%,1,0.485,0.49,0.024,12.4M,22.10%,,
Mali,Africa,12/1/2012,0.05,51%,,8,153,,$10B,$696 ,5.80%,$42 ,270,0.079,0.02,,55,54,55,98%,1,0.471,0.5,0.028,14.9M,37.60%,,
Niger,Africa,12/1/2012,0.05,44%,,17,174,,$7B,$395 ,7.20%,$25 ,270,0.062,0.01,,58,58,58,31%,1,0.5,0.474,0.026,17.2M,18.00%,,
Macao SAR,Asia,12/1/2005,0.01,,1837,,,,$12B,"$25,190 ",,,,,0.35,0.07,79,81,76,114%,1,0.173,0.754,0.073,0.5M,100.00%,$8B,$1B
Hong Kong SAR,Asia,12/1/2005,0.01,24%,40546,11,,12664,$182B,"$26,713 ",,,80,,0.57,0.078,82,85,79,124%,1,0.142,0.736,0.121,6.8M,100.00%,$14B,$13B
Japan,Asia,12/1/2005,0.01,53%,1238181,30,,520541,"$4,570B","$35,767 ",8.20%,"$2,928 ",315,0.003,0.67,0.017,82,85,79,76%,1,0.138,0.663,0.198,127.8M,86.00%,$16B,$48B
South Korea,Asia,12/1/2005,0.01,35%,462918,17,,210176,$898B,"$18,655 ",5.60%,$988 ,290,0.005,0.74,0.056,79,82,75,82%,1,0.191,0.716,0.093,48.1M,81.30%,$8B,$17B
Singapore,Asia,12/1/2005,0.01,28%,30359,6,,21947,$127B,"$29,772 ",3.80%,"$1,058 ",80,0.002,0.61,0.053,81,83,78,98%,1,0.191,0.726,0.082,4.3M,100.00%,$6B,$10B
China,Asia,12/1/2005,0.01,80%,5790017,48,,1775677,"$2,260B","$1,734 ",4.70%,$80 ,832,0.02,0.09,0.056,74,75,73,30%,1,0.205,0.718,0.077,"1,303.7M",42.50%,$32B,$25B
Thailand,Asia,12/1/2005,0.01,38%,256169,33,,99166,$176B,"$2,685 ",3.50%,$95 ,264,0.015,0.15,0.058,73,76,69,47%,1,0.223,0.7,0.077,65.6M,37.50%,$12B,$5B
Georgia,Asia,12/1/2005,0.01,57%,5068,21,,2841,$6B,"$1,470 ",8.60%,$123 ,448,0.022,0.06,0.176,73,77,69,26%,1,0.184,0.67,0.146,4.4M,52.50%,$0B,$0B
Armenia,Asia,12/1/2005,0.01,37%,4360,18,,2512,$5B,"$1,625 ",5.30%,$85 ,580,0.021,0.05,0.18,74,77,70,11%,1,0.219,0.665,0.116,3.0M,64.20%,$0B,$0B
North Korea,Asia,12/1/2005,0.02,,83014,,,21331,,,,,,0.026,,,69,72,65,,1,0.247,0.678,0.074,23.8M,59.80%,,
Azerbaijan,Asia,12/1/2005,0.02,46%,34338,113,,13427,$13B,"$1,578 ",7.90%,$122 ,756,0.044,0.08,0.17,69,72,66,26%,1,0.26,0.676,0.064,8.4M,52.40%,$0B,$0B
Vietnam,Asia,12/1/2005,0.02,40%,97942,45,,41455,$58B,$699 ,5.90%,$36 ,"1,050",0.024,0.13,0.11,75,80,70,11%,1,0.271,0.663,0.066,82.4M,27.30%,$2B,$1B
Kazakhstan,Asia,12/1/2005,0.02,44%,176947,25,,50805,$57B,"$3,771 ",4.10%,$154 ,271,0.029,0.03,,66,72,60,36%,1,0.247,0.677,0.076,15.1M,54.70%,$1B,$1B
Myanmar,Asia,12/1/2005,0.02,,11613,,,14817,,,2.10%,$5 ,,0.051,0.00,0.15,64,66,61,0%,1,0.281,0.67,0.049,50.2M,28.90%,$0B,$0B
Sri Lanka,Asia,12/1/2005,0.02,57%,11643,48,,9001,$24B,"$1,242 ",4.00%,$49 ,256,0.012,0.02,0.108,74,77,70,17%,1,0.254,0.675,0.07,19.6M,18.40%,$1B,$1B
Malaysia,Asia,12/1/2005,0.02,36%,177373,37,,63507,$144B,"$5,572 ",3.20%,$179 ,190,0.007,0.49,0.06,74,76,72,76%,1,0.302,0.654,0.044,25.8M,66.60%,$10B,$4B
Mongolia,Asia,12/1/2005,0.02,40%,8647,13,,2625,$3B,$999 ,6.00%,$60 ,204,0.037,,0.306,66,69,62,22%,1,0.289,0.673,0.037,2.5M,62.50%,$0B,$0B
Uzbekistan,Asia,12/1/2005,0.02,97%,111888,29,,46965,$14B,$547 ,5.10%,$28 ,196,0.047,0.03,,68,71,64,3%,1,0.332,0.62,0.047,26.2M,36.70%,$0B,
Brunei,Asia,12/1/2005,0.02,,5126,,,2217,$10B,"$25,914 ",2.60%,$671 ,,0.007,0.37,0.055,77,79,75,63%,1,0.289,0.679,0.032,0.4M,73.50%,$0B,$0B
Kyrgyzstan,Asia,12/1/2005,0.02,68%,5233,21,,2497,$2B,$476 ,5.80%,$28 ,202,0.034,0.11,0.266,68,72,64,11%,1,0.313,0.631,0.056,5.2M,35.30%,$0B,$0B
Indonesia,Asia,12/1/2005,0.02,38%,341992,151,,179461,$286B,"$1,274 ",2.80%,$36 ,560,0.033,0.04,0.141,69,71,67,21%,1,0.3,0.651,0.049,224.5M,45.90%,$5B,$5B
Maldives,Asia,12/1/2005,0.02,9%,700,9,,225,$1B,"$3,335 ",7.00%,$235 ,,0.019,0.07,0.13,74,75,73,68%,1,0.343,0.611,0.046,0.3M,33.80%,$1B,$0B
Turkmenistan,Asia,12/1/2005,0.02,,45375,,,19166,$8B,"$1,707 ",3.00%,$107 ,,0.058,0.01,,65,69,60,2%,1,0.327,0.627,0.046,4.7M,47.00%,,
India,Asia,12/1/2005,0.02,67%,1411128,71,,539388,$834B,$740 ,4.20%,$32 ,264,0.056,0.02,0.108,65,66,63,8%,1,0.322,0.631,0.047,"1,127.1M",29.20%,$8B,$8B
Bhutan,Asia,12/1/2005,0.02,41%,396,62,,204,$1B,"$1,259 ",4.30%,$55 ,274,0.045,0.04,0.14,64,64,64,6%,1,0.34,0.619,0.041,0.7M,31.00%,$0B,
Bangladesh,Asia,12/1/2005,0.02,35%,37554,50,,23868,$60B,$421 ,3.20%,$13 ,400,0.051,0.00,0.14,68,68,67,6%,1,0.343,0.614,0.043,143.1M,26.80%,$0B,$0B
Cambodia,Asia,12/1/2005,0.03,22%,2776,86,,3436,$6B,$471 ,6.90%,$33 ,137,0.052,0.00,,68,70,65,8%,1,0.361,0.595,0.044,13.4M,19.20%,$1B,$0B
Philippines,Asia,12/1/2005,0.03,47%,74832,47,,38756,$103B,"$1,200 ",3.90%,$47 ,195,0.028,0.05,0.102,68,71,64,41%,1,0.371,0.595,0.034,85.8M,46.60%,$3B,$2B
Laos,Asia,12/1/2005,0.03,35%,1434,153,,,$3B,$472 ,4.30%,$20 ,672,0.07,0.01,0.268,65,66,63,11%,1,0.404,0.559,0.037,5.8M,27.40%,$0B,$0B
Pakistan,Asia,12/1/2005,0.03,43%,136636,24,,76227,$110B,$696 ,3.20%,$22 ,560,0.08,0.06,0.091,65,66,64,8%,1,0.382,0.577,0.041,158.0M,34.70%,$1B,$2B
Nepal,Asia,12/1/2005,0.03,33%,3242,31,,9132,$8B,$321 ,5.70%,$19 ,408,0.047,0.01,0.081,65,66,64,1%,1,0.395,0.561,0.044,25.3M,15.20%,$0B,$0B
Tajikistan,Asia,12/1/2005,0.03,80%,2439,80,,2342,$2B,$340 ,4.80%,$16 ,224,0.054,0.00,0.233,66,69,62,4%,1,0.384,0.579,0.037,6.8M,26.40%,$0B,$0B
Timor-Leste,Asia,12/1/2005,0.04,48%,176,167,,58,$0B,$487 ,7.30%,$33 ,640,0.065,0.00,0.167,64,65,62,3%,1,0.48,0.493,0.027,1.0M,26.30%,,
Afghanistan,Asia,12/1/2005,0.05,36%,1016,9,,,$6B,$252 ,9.20%,$21 ,275,0.084,0.01,,57,58,56,5%,1,0.493,0.487,0.02,24.9M,22.90%,,
Macao SAR,Asia,12/1/2006,0.01,,1632,,,,$15B,"$30,364 ",,,,,0.46,0.088,79,81,77,133%,1,0.161,0.766,0.072,0.5M,100.00%,$10B,$1B
South Korea,Asia,12/1/2006,0.01,31%,470806,17,,213600,"$1,010B","$20,880 ",6.10%,"$1,201 ",290,0.005,0.78,0.06,79,82,76,85%,1,0.186,0.718,0.097,48.4M,81.50%,$9B,$21B
Japan,Asia,12/1/2006,0.01,53%,1231302,22,,519807,"$4,360B","$34,128 ",8.20%,"$2,794 ",350,0.003,0.69,0.017,83,86,79,79%,1,0.137,0.659,0.204,127.8M,87.10%,$11B,$38B
Singapore,Asia,12/1/2006,0.01,24%,30799,6,,23509,$148B,"$33,626 ",3.70%,"$1,167 ",80,0.002,0.59,0.053,81,83,78,104%,1,0.188,0.729,0.083,4.4M,100.00%,$8B,$11B
Hong Kong SAR,Asia,12/1/2006,0.01,24%,38555,11,,13330,$194B,"$28,292 ",,,80,,0.61,0.078,83,86,79,137%,1,0.137,0.74,0.123,6.9M,100.00%,$16B,$14B
Thailand,Asia,12/1/2006,0.01,37%,261211,33,,101043,$207B,"$3,142 ",3.50%,$110 ,264,0.015,0.17,0.074,73,76,69,61%,1,0.218,0.703,0.079,65.9M,38.80%,$17B,$6B
China,Asia,12/1/2006,0.01,81%,6414463,35,,1938944,"$2,710B","$2,067 ",4.60%,$93 ,832,0.019,0.11,0.061,75,76,73,35%,1,0.198,0.724,0.078,"1,311.0M",43.90%,$37B,$28B
Georgia,Asia,12/1/2006,0.01,39%,6150,16,,3032,$8B,"$1,765 ",8.40%,$146 ,387,0.02,0.08,0.171,74,77,70,38%,1,0.179,0.674,0.147,4.4M,52.50%,$0B,$0B
Armenia,Asia,12/1/2006,0.01,37%,4382,17,,2559,$6B,"$2,126 ",4.60%,$97 ,580,0.02,0.06,0.165,74,77,70,42%,1,0.214,0.67,0.116,3.0M,64.20%,$0B,$0B
North Korea,Asia,12/1/2006,0.02,,84557,,,21544,,,,,,0.026,,,69,72,65,,1,0.243,0.679,0.077,24.0M,59.90%,,
Vietnam,Asia,12/1/2006,0.02,40%,102456,50,,42475,$66B,$797 ,6.50%,$46 ,"1,050",0.023,0.17,0.112,75,80,70,22%,1,0.263,0.672,0.066,83.3M,27.90%,$3B,$1B
Azerbaijan,Asia,12/1/2006,0.02,42%,39167,51,,13232,$21B,"$2,473 ",6.20%,$149 ,"1,000",0.042,0.12,0.179,70,72,67,38%,1,0.251,0.685,0.064,8.5M,52.60%,$0B,$0B
Malaysia,Asia,12/1/2006,0.02,36%,170648,37,,63715,$163B,"$6,191 ",3.60%,$222 ,190,0.007,0.52,0.065,74,76,72,74%,1,0.297,0.659,0.045,26.3M,67.50%,$12B,$5B
Myanmar,Asia,12/1/2006,0.02,,12611,,,15015,,,2.00%,$5 ,,0.049,0.00,0.161,64,66,62,0%,1,0.277,0.674,0.05,50.5M,29.40%,$0B,$0B
Sri Lanka,Asia,12/1/2006,0.02,60%,11738,48,,9083,$28B,"$1,423 ",4.00%,$57 ,256,0.011,0.03,0.129,74,77,70,27%,1,0.253,0.675,0.072,19.9M,18.40%,$1B,$1B
Brunei,Asia,12/1/2006,0.02,37%,4822,116,,3152,$11B,"$30,613 ",2.20%,$680 ,144,0.007,0.42,0.055,77,79,75,80%,1,0.285,0.683,0.033,0.4M,73.90%,$0B,$0B
Kazakhstan,Asia,12/1/2006,0.02,44%,192532,21,,61504,$81B,"$5,292 ",3.90%,$210 ,271,0.027,0.03,,67,72,61,51%,1,0.245,0.68,0.075,15.3M,54.50%,$1B,$1B
Mongolia,Asia,12/1/2006,0.02,40%,9498,13,,2925,$3B,"$1,334 ",5.40%,$72 ,204,0.035,,0.269,66,70,62,30%,1,0.282,0.681,0.037,2.6M,63.50%,$0B,$0B
Uzbekistan,Asia,12/1/2006,0.02,112%,116530,29,,48872,$17B,$643 ,5.50%,$35 ,196,0.045,0.06,,68,71,64,10%,1,0.324,0.629,0.047,26.5M,36.50%,$0B,
Indonesia,Asia,12/1/2006,0.02,38%,345120,97,,183726,$365B,"$1,603 ",2.90%,$47 ,576,0.032,0.05,0.16,69,71,67,28%,1,0.3,0.651,0.049,227.7M,46.70%,$5B,$5B
Maldives,Asia,12/1/2006,0.02,9%,887,9,,288,$1B,"$4,304 ",6.70%,$287 ,,0.017,0.11,0.13,75,76,74,90%,1,0.332,0.621,0.047,0.3M,35.00%,$1B,$0B
Turkmenistan,Asia,12/1/2006,0.02,,46256,,,19628,$10B,"$2,140 ",2.20%,$98 ,,0.057,0.01,,65,69,61,5%,1,0.319,0.636,0.045,4.8M,47.30%,,
Bhutan,Asia,12/1/2006,0.02,41%,392,62,,211,$1B,"$1,349 ",4.40%,$59 ,274,0.043,0.05,0.14,65,65,65,12%,1,0.329,0.629,0.041,0.7M,31.70%,$0B,$0B
India,Asia,12/1/2006,0.02,74%,1504365,35,,567182,$949B,$830 ,4.00%,$33 ,264,0.054,0.03,0.112,65,66,63,15%,1,0.318,0.634,0.048,"1,143.3M",29.60%,$9B,$9B
Kyrgyzstan,Asia,12/1/2006,0.02,67%,5145,21,,2450,$3B,$543 ,6.70%,$38 ,202,0.033,0.12,0.232,68,72,64,25%,1,0.308,0.638,0.054,5.2M,35.30%,$0B,$0B
Bangladesh,Asia,12/1/2006,0.02,35%,48137,50,,25332,$62B,$427 ,3.40%,$14 ,400,0.048,0.01,0.153,68,68,67,13%,1,0.338,0.619,0.044,144.9M,27.50%,$0B,$0B
Cambodia,Asia,12/1/2006,0.03,22%,3000,86,,3429,$7B,$537 ,5.40%,$29 ,137,0.048,0.01,,68,71,65,13%,1,0.351,0.604,0.045,13.6M,19.30%,$1B,$0B
Nepal,Asia,12/1/2006,0.03,33%,2662,31,,9131,$9B,$353 ,5.60%,$20 ,408,0.044,0.01,0.08,65,66,64,5%,1,0.391,0.564,0.045,25.6M,15.50%,$0B,$0B
Philippines,Asia,12/1/2006,0.03,48%,67693,47,,38456,$122B,"$1,396 ",4.00%,$55 ,195,0.027,0.06,0.098,68,71,64,49%,1,0.367,0.598,0.035,87.4M,46.30%,$4B,$2B
Pakistan,Asia,12/1/2006,0.03,42%,146075,24,,79345,$137B,$851 ,3.70%,$29 ,560,0.079,0.07,0.11,66,66,65,21%,1,0.376,0.583,0.042,160.9M,35.10%,$1B,$2B
Laos,Asia,12/1/2006,0.03,35%,1580,123,,,$3B,$586 ,4.30%,$25 ,672,0.068,0.01,0.3,65,66,64,17%,1,0.396,0.566,0.038,5.9M,28.50%,$0B,$0B
Tajikistan,Asia,12/1/2006,0.03,80%,2655,80,,2414,$3B,$407 ,4.80%,$19 ,224,0.052,0.04,0.144,67,70,63,31%,1,0.376,0.587,0.037,7.0M,26.50%,$0B,$0B
Timor-Leste,Asia,12/1/2006,0.04,48%,180,167,,59,$0B,$463 ,10.60%,$46 ,640,0.062,0.00,0.165,64,65,62,5%,1,0.478,0.494,0.028,1.0M,26.90%,$0B,$0B
Afghanistan,Asia,12/1/2006,0.04,36%,1338,9,,,$7B,$275 ,9.10%,$23 ,275,0.082,0.02,0.18,58,59,56,10%,1,0.493,0.487,0.02,25.6M,23.20%,,
Macao SAR,Asia,12/1/2007,0.01,,1404,,,,$18B,"$36,607 ",,,,,0.47,0.078,80,82,77,161%,1,0.15,0.778,0.071,0.5M,100.00%,$14B,$1B
Japan,Asia,12/1/2007,0.01,53%,1251136,22,,515198,"$4,360B","$34,124 ",8.20%,"$2,801 ",350,0.003,0.74,0.019,83,86,79,84%,1,0.136,0.654,0.21,127.8M,88.00%,$12B,$37B
South Korea,Asia,12/1/2007,0.01,30%,495837,17,,222147,"$1,120B","$23,046 ",6.40%,"$1,379 ",290,0.004,0.79,0.066,80,83,76,93%,1,0.18,0.72,0.1,48.6M,81.60%,$9B,$24B
Singapore,Asia,12/1/2007,0.01,23%,17866,5,,21819,$180B,"$39,228 ",3.50%,"$1,333 ",80,0.002,0.70,0.053,81,83,78,125%,1,0.184,0.731,0.085,4.6M,100.00%,$9B,$13B
Hong Kong SAR,Asia,12/1/2007,0.01,24%,39963,11,,14338,$212B,"$30,652 ",,,80,,0.65,0.068,82,85,79,155%,1,0.132,0.744,0.124,6.9M,100.00%,$18B,$15B
Thailand,Asia,12/1/2007,0.01,37%,262205,33,,104886,$247B,"$3,738 ",3.60%,$133 ,264,0.014,0.20,0.071,73,76,70,80%,1,0.212,0.707,0.082,66.1M,40.10%,$21B,$7B
China,Asia,12/1/2007,0.01,81%,6791805,35,,2044606,"$3,490B","$2,648 ",4.40%,$113 ,832,0.017,0.16,0.075,75,76,73,41%,1,0.192,0.729,0.079,"1,317.9M",45.20%,$41B,$33B
Georgia,Asia,12/1/2007,0.01,39%,6190,11,,3341,$10B,"$2,318 ",8.20%,$188 ,387,0.019,0.08,0.171,74,77,70,59%,1,0.176,0.678,0.146,4.4M,52.60%,$0B,$0B
Armenia,Asia,12/1/2007,0.01,39%,5068,17,,2853,$9B,"$3,079 ",4.30%,$133 ,581,0.019,0.06,0.175,74,77,70,63%,1,0.211,0.676,0.114,3.0M,64.10%,$0B,$0B
North Korea,Asia,12/1/2007,0.02,,70370,,,18300,,,,,,0.026,,,69,72,65,,1,0.239,0.681,0.08,24.1M,60.00%,,
Vietnam,Asia,12/1/2007,0.02,40%,113651,39,,45777,$77B,$919 ,7.10%,$58 ,"1,050",0.022,0.21,0.112,75,80,70,52%,1,0.254,0.68,0.066,84.2M,28.50%,$4B,$1B
Azerbaijan,Asia,12/1/2007,0.02,41%,41426,36,,12113,$33B,"$3,851 ",5.10%,$192 ,952,0.039,0.15,0.191,70,73,67,52%,1,0.243,0.693,0.063,8.6M,52.80%,$0B,$0B
Malaysia,Asia,12/1/2007,0.02,36%,205308,31,,69970,$194B,"$7,235 ",3.50%,$256 ,166,0.007,0.56,0.064,74,76,72,87%,1,0.292,0.663,0.045,26.8M,68.40%,$18B,$7B
Brunei,Asia,12/1/2007,0.02,37%,10176,116,,3227,$12B,"$32,109 ",2.30%,$738 ,144,0.008,0.45,0.055,78,79,76,96%,1,0.28,0.686,0.033,0.4M,74.30%,$0B,$0B
Myanmar,Asia,12/1/2007,0.02,,12636,,,15595,,,1.90%,$7 ,,0.048,0.00,0.17,64,66,62,1%,1,0.272,0.678,0.05,50.8M,29.90%,$0B,$0B
Sri Lanka,Asia,12/1/2007,0.02,62%,12457,40,,9261,$32B,"$1,614 ",3.70%,$59 ,256,0.011,0.04,0.171,74,77,70,39%,1,0.252,0.675,0.073,20.0M,18.40%,$1B,$1B
Kazakhstan,Asia,12/1/2007,0.02,41%,220313,21,,66231,$105B,"$6,781 ",3.40%,$233 ,271,0.025,0.04,,67,73,61,80%,1,0.244,0.682,0.073,15.5M,54.30%,$1B,$1B
Indonesia,Asia,12/1/2007,0.02,38%,375545,105,,182885,$432B,"$1,870 ",3.10%,$58 ,266,0.031,0.06,0.139,69,71,67,40%,1,0.3,0.651,0.049,231.0M,47.50%,$6B,$7B
Turkmenistan,Asia,12/1/2007,0.02,,53516,,,22367,$13B,"$2,607 ",2.10%,$113 ,,0.055,0.01,,65,69,61,8%,1,0.311,0.645,0.044,4.9M,47.60%,,
Mongolia,Asia,12/1/2007,0.02,40%,10092,13,,3114,$4B,"$1,632 ",5.70%,$93 ,204,0.033,0.09,0.218,66,70,62,46%,1,0.276,0.686,0.038,2.6M,64.60%,$0B,$0B
India,Asia,12/1/2007,0.02,73%,1611404,33,,604659,"$1,240B","$1,070 ",3.90%,$40 ,271,0.052,0.04,0.13,65,66,63,20%,1,0.314,0.638,0.049,"1,159.1M",29.90%,$11B,$11B
Bhutan,Asia,12/1/2007,0.02,41%,392,48,,244,$1B,"$1,761 ",5.00%,$88 ,274,0.041,0.06,0.14,66,66,65,22%,1,0.32,0.638,0.042,0.7M,32.50%,$0B,$0B
Bangladesh,Asia,12/1/2007,0.02,37%,48467,74,,26626,$68B,$467 ,3.50%,$16 ,400,0.046,0.02,0.16,69,69,68,24%,1,0.333,0.623,0.044,146.5M,28.20%,$0B,$1B
Maldives,Asia,12/1/2007,0.02,9%,917,9,,299,$2B,"$5,003 ",6.30%,$315 ,,0.015,0.16,0.13,76,77,74,102%,1,0.322,0.63,0.048,0.3M,36.30%,$2B,$0B
Uzbekistan,Asia,12/1/2007,0.02,90%,116944,15,,48718,$22B,$830 ,5.40%,$46 ,196,0.044,0.08,,68,71,64,21%,1,0.317,0.637,0.046,26.9M,36.40%,$0B,
Kyrgyzstan,Asia,12/1/2007,0.02,61%,5871,21,,2726,$4B,$722 ,6.90%,$51 ,202,0.032,0.14,0.253,68,72,64,42%,1,0.304,0.644,0.052,5.3M,35.30%,$0B,$0B
Philippines,Asia,12/1/2007,0.03,49%,69669,47,,38514,$149B,"$1,677 ",3.90%,$65 ,195,0.027,0.06,0.087,68,71,64,65%,1,0.364,0.601,0.035,88.9M,46.10%,$6B,$2B
Nepal,Asia,12/1/2007,0.03,33%,2699,31,,9308,$10B,$398 ,5.50%,$23 ,408,0.042,0.01,0.08,66,67,65,13%,1,0.387,0.566,0.046,26.0M,15.80%,$0B,$0B
Cambodia,Asia,12/1/2007,0.03,22%,3484,86,,3482,$9B,$628 ,4.50%,$28 ,137,0.045,0.01,,69,72,66,19%,1,0.341,0.612,0.046,13.7M,19.40%,$1B,$0B
Pakistan,Asia,12/1/2007,0.03,40%,158895,24,,83538,$152B,$927 ,3.50%,$31 ,560,0.078,0.07,0.118,66,66,65,38%,1,0.37,0.588,0.042,163.9M,35.40%,$1B,$2B
Laos,Asia,12/1/2007,0.03,35%,1668,93,,,$4B,$702 ,4.20%,$29 ,672,0.065,0.02,0.285,66,67,64,25%,1,0.389,0.574,0.037,6.0M,29.70%,$0B,$0B
Tajikistan,Asia,12/1/2007,0.03,80%,3223,62,,2583,$4B,$523 ,5.30%,$28 ,224,0.05,0.07,0.227,67,70,63,30%,1,0.37,0.594,0.036,7.1M,26.50%,$0B,$0B
Timor-Leste,Asia,12/1/2007,0.04,48%,183,158,,61,$1B,$550 ,8.00%,$41 ,640,0.059,0.00,0.15,65,66,63,8%,1,0.477,0.494,0.029,1.0M,27.60%,$0B,$0B
Afghanistan,Asia,12/1/2007,0.04,36%,1991,9,,,$10B,$374 ,10.00%,$30 ,275,0.08,0.02,0.181,58,59,57,18%,1,0.492,0.487,0.021,26.3M,23.60%,,
Macao SAR,Asia,12/1/2008,0.01,,1192,,,,$21B,"$40,847 ",,,,,0.49,0.054,80,82,77,184%,1,0.141,0.788,0.071,0.5M,100.00%,$17B,$1B
South Korea,Asia,12/1/2008,0.01,33%,508052,17,,226946,"$1,000B","$20,430 ",6.60%,"$1,253 ",250,0.004,0.81,0.072,80,83,77,95%,1,0.174,0.722,0.104,48.9M,81.70%,$13B,$21B
Japan,Asia,12/1/2008,0.01,55%,1206916,22,,495352,"$4,850B","$37,978 ",8.60%,"$3,259 ",355,0.003,0.75,0.019,83,86,79,87%,1,0.135,0.649,0.216,127.7M,88.90%,$14B,$39B
Singapore,Asia,12/1/2008,0.01,28%,19637,4,,25162,$192B,"$39,674 ",4.00%,"$1,577 ",84,0.002,0.69,0.054,81,83,78,132%,1,0.181,0.733,0.086,4.8M,100.00%,$11B,$16B
Hong Kong SAR,Asia,12/1/2008,0.01,24%,38573,11,,14139,$219B,"$31,475 ",,,80,,0.67,0.05,83,86,79,166%,1,0.128,0.747,0.125,7.0M,100.00%,$20B,$16B
Thailand,Asia,12/1/2008,0.01,38%,261838,33,,107656,$273B,"$4,125 ",3.90%,$162 ,264,0.013,0.18,0.07,74,77,70,93%,1,0.205,0.711,0.084,66.2M,41.40%,$22B,$7B
China,Asia,12/1/2008,0.01,80%,7035444,41,,2120814,"$4,520B","$3,412 ",4.60%,$155 ,464,0.016,0.23,0.053,75,76,73,48%,1,0.187,0.732,0.081,"1,324.7M",46.50%,$44B,$41B
Georgia,Asia,12/1/2008,0.01,39%,6238,3,,3005,$13B,"$2,920 ",9.00%,$261 ,387,0.017,0.10,0.18,74,77,70,62%,1,0.174,0.682,0.145,4.4M,52.60%,$1B,$0B
Armenia,Asia,12/1/2008,0.01,39%,5556,17,,3004,$12B,"$3,917 ",3.80%,$149 ,581,0.018,0.06,0.17,74,77,71,48%,1,0.208,0.681,0.111,3.0M,64.00%,$0B,$0B
North Korea,Asia,12/1/2008,0.02,,78081,,,20164,,,,,,0.026,,,69,72,65,,1,0.235,0.682,0.083,24.2M,60.00%,,
Azerbaijan,Asia,12/1/2008,0.02,41%,45702,10,,13322,$49B,"$5,575 ",4.40%,$241 ,376,0.037,0.17,0.198,70,73,67,74%,1,0.237,0.701,0.062,8.8M,53.00%,$0B,$0B
Vietnam,Asia,12/1/2008,0.02,40%,127164,39,,48984,$99B,"$1,165 ",6.00%,$63 ,"1,050",0.022,0.24,0.158,75,80,70,86%,1,0.247,0.688,0.066,85.1M,29.10%,$4B,$1B
Myanmar,Asia,12/1/2008,0.02,,9028,,,15033,,,2.00%,$10 ,,0.046,0.00,0.17,64,66,62,1%,1,0.268,0.681,0.05,51.2M,30.40%,$0B,$0B
Malaysia,Asia,12/1/2008,0.02,35%,213221,20,,73006,$231B,"$8,461 ",3.40%,$288 ,145,0.007,0.56,0.061,75,77,72,102%,1,0.287,0.667,0.046,27.3M,69.20%,$19B,$8B
Brunei,Asia,12/1/2008,0.02,37%,10583,116,,3542,$14B,"$37,094 ",2.20%,$821 ,144,0.008,0.46,0.055,78,80,76,103%,1,0.275,0.691,0.034,0.4M,74.70%,$0B,$0B
